ID,Q793_1,Q658_1,Q658_2,Q658_3,Q658_4,Q658_5,Q668_1,Q668_2,Q668_3,Q846_1,Q846_2,Q847_1,Q796,Q7,Q8,Q789,Q10,Q819,Q820,condition,random,proclamation,advisor,h1,h2,h3,h4,h5,m1,m2,m3,d1,g1,imm
260,Moderately likely,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Slightly,Slightly,Slightly,Once in a while,Once in a while,Somewhat,cant remember,Female,48,Republican,what i think of politics,,"Yes, he did lie about his campaign contributions.",5,51482,control,no,3,3,4,3,3,3,3,3,3,3,4
261,Not at all likely,Strongly agree,Agree,Agree,Agree,Strongly agree,Not very,Slightly,Not at all,Pretty often,Always,Moderately,yes-mostly all,Male,60,Democrat,unsure,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,77632,absolute,yes,7,6,6,6,7,2,3,1,5,7,5
262,Not very likely,Agree,Agree,Agree,Agree,Agree,Not very,Not very,Not very,Pretty often,Frequently,Very,No one in particular,Male,28,Democrat,To study political opinions,,"Yes, he did lie about his campaign contributions.",5,59211,control,no,6,6,6,6,6,2,2,2,5,6,6
263,Not very likely,Agree,Agree,Agree,Agree,Somewhat agree,Slightly,Slightly,Slightly,Sometimes,Sometimes,Very,"Offhand, I cannot think of any politician who has asserted that it's OK to lie. ",Female,55,Democrat,"Gosh, I've honestly no idea. But it was engaging. ",He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,81007,flexible,no,6,6,6,6,5,3,3,3,4,4,6
264,Moderately likely,Strongly disagree,Strongly disagree,Somewhat disagree,Disagree,Strongly disagree,Very,Moderately,Very,Sometimes,Once in a while,Slightly,no,Female,38,Democrat,To see if you would vote for the politician. ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,59601,absolute,no,1,1,3,2,1,6,5,6,4,3,3
265,Not very likely,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Not very,Not very,Not very,Sometimes,Once in a while,Somewhat,most if not at all,Male,32,Other,not sure,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,52705,absolute,no,6,6,5,5,6,2,2,2,4,3,4
266,Somewhat likely,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Slightly,Slightly,Slightly,Once in a while,Sometimes,Slightly,There is no way in the world that every politician can every tell the truth all the time. No politician is that pure. All are compromised in one form or another.,Male,50,Other,What people in general think about the believability of politicians.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,79010,absolute,yes,5,5,5,5,5,3,3,3,3,4,3
267,Not very likely,Disagree,Disagree,Somewhat agree,Somewhat disagree,Disagree,Slightly,Slightly,Not very,Sometimes,Frequently,Moderately,Most politicians seem to think it is okay to bend the truth. Trump came to mind. ,Female,28,Democrat,How we feel about candidates who believe it is okay to lie and do so in their campaign,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,39112,flexible,yes,2,2,5,3,2,3,3,2,4,6,5
268,Not very likely,Agree,Neither agree nor disagree,Agree,Somewhat agree,Strongly agree,Not very,Not very,Not at all,Frequently,Frequently,Moderately,no,Female,30,Democrat,perceptions of a political candidate?,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,51932,flexible,yes,6,4,6,5,7,2,2,1,6,6,5
269,Not at all likely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not at all,Not at all,Not at all,Always,Always,Not at all,Trump,Male,30,Democrat,"To see if our opinions of politicians change. Also, I think I might have answered ""not at all"" on the previous page, asking how immoral Matthew Johnson was. I meant ""extremely"". ",He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,50185,absolute,no,7,7,7,7,7,1,1,1,7,7,1
270,Not very likely,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Not very,Somewhat,Not very,Once in a while,Once in a while,Slightly,Biden and Harris,Female,57,Other,Collect opinions of surveyees on politicians' responses and actions.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,90173,absolute,yes,4,3,4,4,3,2,4,2,3,3,3
271,Not very likely,Agree,Neither agree nor disagree,Agree,Agree,Agree,Not very,Not very,Not very,Sometimes,Sometimes,Very,yes,Female,64,Democrat,Is it ok to be dishonest depending on your position in life.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,86646,absolute,yes,6,4,6,6,6,2,2,2,4,4,6
272,Not very likely,Agree,Agree,Agree,Neither agree nor disagree,Somewhat agree,Not very,Not very,Not very,Pretty often,Sometimes,Somewhat,"The description of Matthew Johnson didn't bring any specific politician, but I feel like the description describes many politicians and those in office.",Female,31,Other,The purpose was to view how we make choices based off of what a politician says and what is actually true.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,93113,absolute,no,6,6,6,4,5,2,2,2,5,4,4
273,Not very likely,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Slightly,Slightly,Slightly,Sometimes,Sometimes,Somewhat,"Yes, all of them! But really, I think all politicians bend the truth to some extent to serve a ""higher purpose"", or maybe their own individual interests. Many politicians would probably think, even if they wouldn't say it, that it is ok to bend the truth to get what they want for the perceived greater good.",Male,30,Other,I think the purpose of the study was to measure how people view dishonesty and factor it into political support/ decisions.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,23723,flexible,yes,7,7,6,6,7,3,3,3,4,4,4
274,Not very likely,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Agree,Moderately,Somewhat,Moderately,Once in a while,Frequently,Very,Not a specific one but I do believe they all politicians are at fault for fibbing the truth,Female,43,Democrat,The purpose of this survey is to see if political information can in fact cause bias and if its immoral or not to lie. ,,"Yes, he did lie about his campaign contributions.",5,38491,control,no,5,7,3,4,6,5,4,5,3,6,6
275,Not very likely,Agree,Somewhat agree,Agree,Agree,Strongly agree,Not very,Not very,Not very,Frequently,Sometimes,Extremely,All politicians really. ,Male,37,Other,Perceptions of lying in politics,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,74298,absolute,no,6,5,6,6,7,2,2,2,6,4,7
276,Not very likely,Somewhat agree,Neither agree nor disagree,Agree,Somewhat agree,Neither agree nor disagree,Not very,Not very,Not very,Always,Always,Moderately,EVER ONE,Female,41,Democrat,POLITICS,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,32679,flexible,no,5,4,6,5,4,2,2,2,7,7,5
277,Not at all likely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not at all,Not at all,Not at all,Frequently,Frequently,Extremely,"Not really because the vast majority of them lie. I'm thinking about Biden now though, he seems to fit that description pretty well.",Male,27,Republican,Studying how people view politicians.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,23548,flexible,yes,7,7,7,7,7,1,1,1,6,6,7
278,Very likely,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,Very,Moderately,Moderately,Once in a while,Sometimes,Moderately,all politicians ,Female,26,Democrat,what my political views are,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,95794,flexible,yes,1,2,1,2,2,6,5,5,3,4,5
279,Slightly likely,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Not very,Not very,Not very,Pretty often,Sometimes,Not very,all of them. They all lie.,Female,43,Other,I don't know,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,58313,absolute,no,4,6,4,4,6,2,2,2,5,4,2
280,Extremely likely,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Very,Extremely,Very,Frequently,Always,Very," Matthew W. Johnson, David B. Yaden on November 5, 2020 ... We suggest that there is no evidence that people change political or religious ... use the term “liberal” in reference to the scale because that term had a political meaning in the United ... LSD under medical treatment compared to those who did not take LSD.",Female,46,Democrat,nice study,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,11021,absolute,yes,6,7,6,7,7,6,7,6,6,7,6
281,Not very likely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not very,Not very,Not very,Sometimes,Sometimes,Extremely,If there was only one to pick from...,Male,44,Democrat,not sure,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,59295,absolute,yes,7,7,7,7,7,2,2,2,4,4,7
282,Slightly likely,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Disagree,Slightly,Somewhat,Slightly,Sometimes,Sometimes,Somewhat,almost all of them,Male,35,Democrat,attitudes on political candidates,,"Yes, he did lie about his campaign contributions.",5,73906,control,no,5,6,5,5,2,3,4,3,4,4,4
283,Slightly likely,Agree,Somewhat agree,Agree,Agree,Disagree,Not at all,Not at all,Not at all,Sometimes,Pretty often,Very,"yes, several",Female,50,Republican,to determine the threshold/acceptability of lying,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,55462,flexible,no,6,5,6,6,2,1,1,1,4,5,6
284,Slightly likely,Agree,Agree,Neither agree nor disagree,Agree,Agree,Not very,Not very,Not very,Pretty often,Pretty often,Moderately,No,Female,24,Democrat,I think it was made to see how people feel about politicians who say things that do not actually align with what they are doing. ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,45555,absolute,yes,6,6,4,6,6,2,2,2,5,5,5
285,Not very likely,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Not very,Not very,Not very,Pretty often,Sometimes,Somewhat,No,Male,32,Democrat,How we evaluate a politician based on statements he makes concerning morals and ethics.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,97327,flexible,no,5,4,5,5,4,2,2,2,5,4,4
286,Slightly likely,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Not very,Not very,Not very,Frequently,Frequently,Extremely,all of them,Female,36,Other,To determine whether we'd vote for someone who is a proven liar and hypocrite.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,92192,absolute,yes,7,6,7,7,7,2,2,2,6,6,7
287,Not very likely,Agree,Agree,Agree,Agree,Agree,Not very,Not very,Not very,Pretty often,Pretty often,Very,no,Female,68,Democrat,I have no idea of the reason for study,,"Yes, he did lie about his campaign contributions.",5,14329,control,no,6,6,6,6,6,2,2,2,5,5,6
288,Not very likely,Agree,Agree,Agree,Agree,Neither agree nor disagree,Not very,Not very,Not very,Frequently,Pretty often,Very,I think a majority of politicians operate as does Matthew Johnson.,Female,62,Republican,I think you were checking to see home acceptable we find lying from politicians to be.,,"Yes, he did lie about his campaign contributions.",5,29267,control,no,6,6,6,6,4,2,2,2,6,5,6
289,Very likely,Agree,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Very,Moderately,Moderately,Frequently,Pretty often,Very,Matthew Johnson campaign advisor ,Male,47,Republican,Very like this study.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,27789,absolute,no,6,5,6,5,4,6,5,5,6,5,6
290,Not very likely,Agree,Agree,Agree,Agree,Agree,Not very,Not very,Not very,Pretty often,Pretty often,Moderately,No,Male,29,Republican,See if lies change how people perceive politicians. ,,"Yes, he did lie about his campaign contributions.",5,90879,control,no,6,6,6,6,6,2,2,2,5,5,5
291,Slightly likely,Agree,Agree,Agree,Agree,Neither agree nor disagree,Not very,Not very,Not very,Sometimes,Sometimes,Somewhat,all of them,Male,62,Other,To see if or how people's determination of truth and morality are effected by partisanship.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,65160,absolute,yes,6,6,6,6,4,2,2,2,4,4,4
292,Not very likely,Agree,Somewhat disagree,Agree,Somewhat disagree,Somewhat agree,Not very,Not very,Not very,Pretty often,Pretty often,Very,The description brings almost all politicians to mind.  The majority of them feel lying is fine if it benefits themselves.,Male,61,Democrat,I feel the purpose of the study was to judge how people feel about lying by politicians.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,98494,flexible,no,6,3,6,3,5,2,2,2,5,5,6
293,Not very likely,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Not very,Not very,Not very,Pretty often,Always,Very,None that I can think of.,Female,37,Democrat,To study how people perceive politicians.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,76689,flexible,no,5,4,5,4,3,2,2,2,5,7,6
294,Not very likely,Disagree,Somewhat disagree,Disagree,Somewhat disagree,Agree,Somewhat,Somewhat,Somewhat,Once in a while,Sometimes,Moderately,"Joe Biden, Donald Trump",Male,57,Other,Not sure,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,70871,flexible,yes,2,3,2,3,6,4,4,4,3,4,5
295,Very likely,Neither agree nor disagree,Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Moderately,Somewhat,Very,Sometimes,Sometimes,Somewhat,no,Male,67,Democrat,to collect data,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,76928,flexible,no,4,6,5,5,3,5,4,6,4,4,4
296,Not very likely,Agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Not very,Not very,Not very,Sometimes,Frequently,Very,Mitch McConnell,Female,33,Democrat,To see how people view a dishonest politician,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,48951,flexible,no,6,7,7,6,5,2,2,2,4,6,6
297,Not very likely,Strongly agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Slightly,Not very,Not very,Sometimes,Sometimes,Very,The description did not bring any particular politician to mind. ,Male,37,Democrat,How people evaluate the ethics of politicians. ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,84673,absolute,no,7,5,6,5,5,3,2,2,4,4,6
298,Not very likely,Agree,Strongly agree,Agree,Agree,Strongly agree,Slightly,Not very,Not very,Pretty often,Pretty often,Moderately,no,Male,34,Democrat,to see how people rate trust in politicians,,"Yes, he did lie about his campaign contributions.",5,78184,control,no,6,7,6,6,7,3,2,2,5,5,5
299,Somewhat likely,Strongly agree,Agree,Agree,Somewhat agree,Agree,Slightly,Somewhat,Slightly,Sometimes,Pretty often,Somewhat,"Basically he is a typical, big city politician who will lie like a rug in order to get elected",Male,47,Democrat,"To see if finding out if a politician was dishonest was a deciding factor in our vote.  Well, except for possibly Trump, almost all politicians have failed to implement their campaign platforms so I am used to dishonesty",He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,37825,absolute,no,7,6,6,5,6,3,4,3,4,5,4
300,Not very likely,Agree,Agree,Strongly agree,Strongly agree,Agree,Not at all,Not at all,Not very,Always,Always,Extremely,Donald Trump,Female,31,Democrat,To figure out our morals when it comes to voting.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,34959,flexible,no,6,6,7,7,6,1,1,2,7,7,7
301,Not very likely,Somewhat agree,Disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat,Somewhat,Not very,Frequently,Pretty often,Very,Tommy Tuberville ,Female,41,Other,Politics of politics.,,"Yes, he did lie about his campaign contributions.",5,18543,control,no,5,2,3,5,3,4,4,2,6,5,6
302,Very likely,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Moderately,Slightly,Somewhat,Once in a while,Sometimes,Moderately,yes,Male,36,Other,Study people's attitudes towards these politicians,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,36506,absolute,yes,4,5,5,4,5,5,3,4,3,4,5
303,Not very likely,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Not very,Slightly,Not very,Frequently,Frequently,Very,pretty much any republican I'd say,Male,46,Republican,I couldn't really begin to guess what you hope to learn from this,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,79326,flexible,yes,6,4,6,6,4,2,3,2,6,6,6
304,Not very likely,Somewhat agree,Agree,Agree,Strongly agree,Agree,Not very,Not very,Not very,Pretty often,Always,Not at all,Most of them ,Male,56,Other,To explore people's reactions and opinions on politicians in regards to their truthfulness ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,46415,absolute,no,5,6,6,7,6,2,2,2,5,7,1
305,Not very likely,Agree,Agree,Agree,Strongly agree,Agree,Not at all,Not very,Not very,Pretty often,Pretty often,Very,No,Male,38,Democrat,Not sure,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,52080,absolute,yes,6,6,6,7,6,1,2,2,5,5,6
306,Very likely,Neither agree nor disagree,Somewhat agree,Agree,Strongly agree,Agree,Very,Moderately,Somewhat,Frequently,Pretty often,Very,We suggest that there is no evidence that people change political or religious .,Female,41,Republican,Survey is very exciting.,,"Yes, he did lie about his campaign contributions.",5,93449,control,no,4,5,6,7,6,6,5,4,6,5,6
307,Not very likely,Strongly agree,Disagree,Strongly agree,Agree,Disagree,Not at all,Not at all,Not at all,Pretty often,Frequently,Extremely,each and everyone of them!,Female,58,Republican,moral stance on lying in politics and in general,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,59859,flexible,yes,7,2,7,6,2,1,1,1,5,6,7
308,Not at all likely,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Not very,Not very,Not very,Pretty often,Sometimes,Slightly,no,Male,34,Other,games and judgements,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,48976,absolute,yes,6,4,4,4,4,2,2,2,5,4,3
309,Not at all likely,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Not at all,Not at all,Not at all,Frequently,Sometimes,Extremely,"Yes, all of them.  Especially the likes of McConnell and Susan Collins.",Male,39,Democrat,I have no idea at all.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,59288,flexible,no,7,4,7,7,6,1,1,1,6,4,7
310,Not very likely,Agree,Somewhat agree,Agree,Agree,Strongly agree,Not very,Not very,Not very,Sometimes,Sometimes,Moderately,no,Male,39,Democrat,Lying in politics,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,48236,flexible,yes,6,5,6,6,7,2,2,2,4,4,5
311,Not at all likely,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Not at all,Not at all,Not at all,Frequently,Always,Extremely,It made me think of my states governor which is just a careless human who disregards the current pandemic and even worse the president who ignored the risks of the pandemic for 3 months while people we're getting sick and dying.,Male,32,Republican,Demographic study to see what types of groups react to lying.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,99700,flexible,no,7,4,6,7,6,1,1,1,6,7,7
312,Moderately likely,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat,Somewhat,Somewhat,Once in a while,Almost never,Slightly,"Plenty of them, but I consider ""Matthew Johnson's"" lie in this scenario quite harmless...  I believe ALL politicians tell little white lies at times.",Female,48,Democrat,"If my opinion on a favored candidate would change, after finding out that he told a little white lie...",He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,54014,absolute,no,3,3,3,3,5,4,4,4,3,2,3
313,Somewhat likely,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Moderately,Moderately,Moderately,Sometimes,Sometimes,Not very,All politicians,Female,43,Republican,Impression of politicians,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,68710,absolute,no,4,4,5,4,4,5,5,5,4,4,2
314,Somewhat likely,Somewhat disagree,Disagree,Somewhat disagree,Somewhat disagree,Disagree,Somewhat,Somewhat,Somewhat,Sometimes,Sometimes,Very,No,Male,44,Other,I don't know,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,75505,flexible,yes,3,2,3,3,2,4,4,4,4,4,6
315,Not very likely,Agree,Agree,Agree,Agree,Agree,Not very,Slightly,Not very,Frequently,Frequently,Very,no,Female,27,Democrat,perception towards morality in leadership,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,52405,flexible,yes,6,6,6,6,6,2,3,2,6,6,6
316,Not very likely,Agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Not very,Not at all,Not very,Frequently,Always,Extremely,trump,Male,32,Democrat,perception,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,81920,flexible,no,6,5,7,4,5,2,1,2,6,7,7
317,Somewhat likely,Agree,Agree,Agree,Agree,Agree,Somewhat,Somewhat,Somewhat,Sometimes,Sometimes,Somewhat,Yeah pretty much all of them. Joe Biden,Female,29,Republican,I think it was to see how people feel about politicians. I didn't say he was very unethical because all politicians lie and if they say they don't like or don't like lying that is also a lie. I think it just comes with the territory of being a politician.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,19434,absolute,no,6,6,6,6,6,4,4,4,4,4,4
318,Not very likely,Agree,Agree,Agree,Agree,Agree,Not very,Not very,Not very,Pretty often,Sometimes,Very,no,Female,48,Republican,I am unsure.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,55705,flexible,no,6,6,6,6,6,2,2,2,5,4,6
319,Not very likely,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat disagree,Not very,Slightly,Not very,Sometimes,Pretty often,Very,Yes. Donald Trump. ,Male,35,Democrat,Studying how people feel about politicians that lie. ,,"Yes, he did lie about his campaign contributions.",5,25004,control,no,5,5,5,6,3,2,3,2,4,5,6
320,Slightly likely,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Not very,Not very,Slightly,Sometimes,Sometimes,Somewhat,"Not really. Most politicians are known for spinning the truth, so it's hard to single one out.",Male,30,Democrat,Assessing morality in political campaigns.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,63434,absolute,no,5,5,4,7,7,2,2,3,4,4,4
321,Slightly likely,Agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Not very,Slightly,Slightly,Pretty often,Frequently,Extremely,"yes, Donald Trump.",Male,24,Other,i think the purpose of the study was to see how people react to lying politicians,,"Yes, he did lie about his campaign contributions.",5,50471,control,no,6,7,5,5,7,2,3,3,5,6,7
322,Not very likely,Agree,Agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Not very,Not very,Not very,Pretty often,Frequently,Very,TRUMP!,Male,38,Democrat,"to study one's moral reaction to a politician lying, if they are bothered by it or look the other way",,"Yes, he did lie about his campaign contributions.",5,87933,control,no,6,6,5,4,4,2,2,2,5,6,6
323,Somewhat likely,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Slightly,Somewhat,Slightly,Almost never,Almost never,Somewhat,"Minority talk did bring some politicians to mind. Others have lied about taking money from other places, too. ",Female,33,Democrat,To see how people feel about politics and white lies.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,67220,absolute,no,3,3,4,3,3,3,4,3,2,2,4
324,Slightly likely,Agree,Agree,Agree,Agree,Agree,Not very,Not very,Not very,Sometimes,Once in a while,Somewhat,Trump,Male,32,Democrat,Perceptions of lying political candidates.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,56766,absolute,yes,6,6,6,6,6,2,2,2,4,3,4
325,Very likely,Agree,Somewhat agree,Agree,Strongly agree,Agree,Very,Extremely,Very,Always,Frequently,Extremely,Matthew Johnson works on the archaeology of Europe and the Atlantic world and history of Europe from the Roman Empire ,Male,30,Republican,the study is good ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,93766,flexible,no,6,5,6,7,6,6,7,6,7,6,7
326,Slightly likely,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Not very,Slightly,Not very,Frequently,Frequently,Very,Not necessarily; I don't really concern myself in politics,Female,26,Republican,Seeing how people feel about politicians that tend to lie and if they'd rather them be honest about it or hide the truth that they lie.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,54118,flexible,yes,4,4,4,5,3,2,3,2,6,6,6
327,Slightly likely,Agree,Agree,Agree,Agree,Agree,Slightly,Slightly,Slightly,Frequently,Frequently,Very,No,Male,38,Democrat,Judging morality,,"Yes, he did lie about his campaign contributions.",5,21297,control,no,6,6,6,6,6,3,3,3,6,6,6
328,Not very likely,Strongly agree,Strongly agree,Agree,Agree,Agree,Slightly,Slightly,Not very,Frequently,Pretty often,Very,Donald Trump,Male,48,Democrat,Opinions of political figures saying one thing and doing the opposite,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,61945,absolute,yes,7,7,6,6,6,3,3,2,6,5,6
329,Not very likely,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Not very,Not very,Not very,Pretty often,Pretty often,Slightly,All of them ,Female,41,Republican,"To see if  I think lying is moral or ethical,",He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,12879,absolute,yes,6,3,5,5,6,2,2,2,5,5,3
330,Not very likely,Agree,Somewhat disagree,Agree,Neither agree nor disagree,Somewhat agree,Not very,Not at all,Not very,Sometimes,Almost never,Moderately,no,Female,36,Democrat,"I""m honestly not sure. ",,"Yes, he did lie about his campaign contributions.",5,14907,control,no,6,3,6,4,5,2,1,2,4,2,5
331,Moderately likely,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat,Moderately,Somewhat,Once in a while,Never ever,Somewhat,No,Female,35,Democrat,Assessing language of politicans,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,42777,absolute,no,4,3,4,4,4,4,5,4,3,1,4
332,Somewhat likely,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Disagree,Somewhat,Slightly,Not very,Frequently,Frequently,Moderately,Not one in particular. Most of them say what they think people want to hear and then get caught. ,Female,39,Democrat,To gage my feelings on politicians and how important their honesty is.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,37819,flexible,yes,3,3,3,5,2,4,3,2,6,6,5
333,Not very likely,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Disagree,Not at all,Not at all,Not at all,Pretty often,Pretty often,Very,trump,Male,35,Other,views on ethics,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,22489,flexible,yes,4,4,6,6,2,1,1,1,5,5,6
334,Not at all likely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not at all,Not at all,Not at all,Pretty often,Pretty often,Extremely,"Yes, too many to name.",Female,41,Other,I'm not really sure to be honest.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,53076,absolute,yes,7,7,7,7,7,1,1,1,5,5,7
335,Slightly likely,Agree,Agree,Agree,Agree,Agree,Not very,Not very,Not very,Sometimes,Sometimes,Very,"No, they're all lying cheats.",Female,59,Democrat,Attitudes toward politicians and lying.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,81681,flexible,yes,6,6,6,6,6,2,2,2,4,4,6
