id,gender,age,group,stance,condition,comm_honest,honest_f,honest_e,honest_l,Honest_compositeGD,m1,m2,m3,M_compositeGD,agree
252,Male,49,rarely,Its rarely okay to lie,2,5,6,5,2,4.5,6,6,6,6,5
253,Male,31,control,,10,5,6,4,6,5.25,5,5,5,5,NA
254,Male,40,never-exceptional,"Its never okay to lie, except in really exceptional circumstances",6,6,6,7,6,6.25,6,6,6,6,5
255,Female,53,sometimes-harm,Its sometimes okay to lie if it prevents harm,7,5,6,2,3,4,5,5,5,5,5
256,Female,44,never,Its never okay to lie,1,6,7,6,6,6.25,6,6,6,6,2
257,Female,34,never-harm,"Its never okay to lie, except if it prevents harm",4,6,6,6,5,5.75,7,7,6,6.666666667,7
258,Female,31,sometimes-exceptional,"Its sometimes okay to lie, but only in really exceptional circumstances",9,3,4,3,1,2.75,4,4,3,3.666666667,3
259,Male,36,sometimes-harm,Its sometimes okay to lie if it prevents harm,7,2,4,2,2,2.5,3,3,3,3,3
260,Male,28,sometimes,its sometimes okay to lie,3,3,5,2,1,2.75,1,3,1,1.666666667,1
261,Female,35,never-harm,"Its never okay to lie, except if it prevents harm",4,6,6,6,6,6,7,7,6,6.666666667,5
262,Female,40,never-goodreason,"Its never okay to lie, except if you have a good reason",5,4,6,3,2,3.75,4,5,4,4.333333333,3
263,Female,43,rarely,Its rarely okay to lie,2,6,6,5,4,5.25,6,6,6,6,6
264,Female,48,never-goodreason,"Its never okay to lie, except if you have a good reason",5,6,6,4,6,5.5,6,6,6,6,6
265,Male,48,sometimes-goodreason,Its sometimes okay to lie if you have a good reason,8,4,4,4,4,4,3,3,3,3,2
266,Male,37,never-exceptional,"Its never okay to lie, except in really exceptional circumstances",6,6,6,5,5,5.5,5,5,6,5.333333333,6
267,Male,34,control,,10,6,6,6,6,6,5,5,5,5,NA
268,Female,34,never,Its never okay to lie,1,7,6,6,4,5.75,6,6,6,6,3
269,Male,28,sometimes-exceptional,"Its sometimes okay to lie, but only in really exceptional circumstances",9,4,5,4,2,3.75,5,5,4,4.666666667,5
270,Female,40,never-harm,"Its never okay to lie, except if it prevents harm",4,6,6,5,6,5.75,6,6,6,6,6
271,Male,29,never,Its never okay to lie,1,7,7,7,7,7,7,7,7,7,7
272,Female,37,sometimes,its sometimes okay to lie,3,2,4,2,3,2.75,2,2,2,2,3
273,Female,43,never-goodreason,"Its never okay to lie, except if you have a good reason",5,6,6,4,6,5.5,7,6,6,6.333333333,6
274,Female,29,never-exceptional,"Its never okay to lie, except in really exceptional circumstances",6,6,6,7,6,6.25,6,6,6,6,2
275,Male,29,sometimes-goodreason,Its sometimes okay to lie if you have a good reason,8,2,4,3,2,2.75,4,4,3,3.666666667,5
276,Male,39,sometimes-exceptional,"Its sometimes okay to lie, but only in really exceptional circumstances",9,4,4,5,4,4.25,4,4,4,4,4
277,Male,35,sometimes-harm,Its sometimes okay to lie if it prevents harm,7,5,6,3,5,4.75,6,5,5,5.333333333,6
278,Prefer not to answer,45,sometimes-goodreason,Its sometimes okay to lie if you have a good reason,8,5,6,4,4,4.75,5,3,3,3.666666667,6
279,Male,29,control,,10,6,6,5,5,5.5,5,5,5,5,NA
280,Female,41,rarely,Its rarely okay to lie,2,6,7,6,6,6.25,6,6,6,6,6
281,Male,42,sometimes,its sometimes okay to lie,3,2,2,3,1,2,4,3,4,3.666666667,5
